type	url	number
afternoon-tea	https://www.bbcgoodfood.com/search?tab=recipe?mealType=afternoon-tea	1266
breads	https://www.bbcgoodfood.com/search?tab=recipe?mealType=breads	2
breakfast	https://www.bbcgoodfood.com/search?tab=recipe?mealType=breakfast	641
brunch	https://www.bbcgoodfood.com/search?tab=recipe?mealType=brunch	541
buffet	https://www.bbcgoodfood.com/search?tab=recipe?mealType=buffet	1168
canapes	https://www.bbcgoodfood.com/search?tab=recipe?mealType=canapes	298
cheese-course	https://www.bbcgoodfood.com/search?tab=recipe?mealType=cheese-course	10
cocktails	https://www.bbcgoodfood.com/search?tab=recipe?mealType=cocktails	242
condiment	https://www.bbcgoodfood.com/search?tab=recipe?mealType=condiment	348
dessert	https://www.bbcgoodfood.com/search?tab=recipe?mealType=dessert	2668
dinner	https://www.bbcgoodfood.com/search?tab=recipe?mealType=dinner	7435
drink	https://www.bbcgoodfood.com/search?tab=recipe?mealType=drink	520
fish-course	https://www.bbcgoodfood.com/search?tab=recipe?mealType=fish-course	132
lunch	https://www.bbcgoodfood.com/search?tab=recipe?mealType=lunch	3736
main-course	https://www.bbcgoodfood.com/search?tab=recipe?mealType=main-course	5193
pasta	https://www.bbcgoodfood.com/search?tab=recipe?mealType=pasta	322
side-dish	https://www.bbcgoodfood.com/search?tab=recipe?mealType=side-dish	2216
snack	https://www.bbcgoodfood.com/search?tab=recipe?mealType=snack	1552
soup	https://www.bbcgoodfood.com/search?tab=recipe?mealType=soup	328
starter	https://www.bbcgoodfood.com/search?tab=recipe?mealType=starter	1115
supper	https://www.bbcgoodfood.com/search?tab=recipe?mealType=supper	3196
treat	https://www.bbcgoodfood.com/search?tab=recipe?mealType=treat	1732
vegetable	https://www.bbcgoodfood.com/search?tab=recipe?mealType=vegetable	301
flatbreads	https://www.bbcgoodfood.com/search?tab=recipe?mealType=flatbreads	1
picnic	https://www.bbcgoodfood.com/search?tab=recipe?mealType=picnic	1
side	https://www.bbcgoodfood.com/search?tab=recipe?mealType=side	4
